City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
xuddur,4.1213,43.8894,90.43,32,94,17.58,SO,overcast clouds
san blas,21.5167,-105.2667,65.91,76,99,2.71,MX,overcast clouds
vardo,70.3705,31.1107,28.38,80,100,18.41,NO,overcast clouds
mathbaria,22.2876,89.9593,75.0,48,89,4.12,BD,overcast clouds
kohat,33.582,71.4493,66.27,24,0,1.19,PK,clear sky
chilliwack,49.1747,-121.9443,13.78,68,75,8.01,CA,broken clouds
beaufort,5.3473,115.7455,76.71,94,100,0.69,MY,overcast clouds
umm lajj,25.0213,37.2685,78.42,50,55,11.61,SA,broken clouds
shepsi,44.0361,39.1489,47.95,64,89,1.88,RU,overcast clouds
saint anthony,45.0205,-93.218,-4.7,79,0,3.44,US,clear sky
selikhino,50.3672,137.4996,-10.23,98,36,3.4,RU,scattered clouds
bac can,50.3672,137.4996,-10.23,98,36,3.4,RU,scattered clouds
karaul,50.3672,137.4996,-10.23,98,36,3.4,RU,scattered clouds
yei,4.095,30.6779,90.61,25,100,5.82,SS,overcast clouds
cleveland,41.4995,-81.6954,28.69,84,0,4.61,US,clear sky
chelyabinsk-70,41.4995,-81.6954,28.69,84,0,4.61,US,clear sky
novyy urengoy,66.0833,76.6333,-29.79,98,88,7.83,RU,overcast clouds
ouesso,1.6136,16.0517,95.41,36,63,0.69,CG,broken clouds
morant bay,17.8815,-76.4093,72.72,85,8,7.07,JM,clear sky
hongjiang,27.11,109.9956,50.22,43,0,1.72,CN,clear sky
nanchang,28.6833,115.8833,53.1,32,0,5.03,CN,clear sky
hervey bay,-25.2986,152.8535,71.96,66,10,14.45,AU,clear sky
anadyr,64.75,177.4833,27.1,28,0,11.18,RU,clear sky
fukue,32.6881,128.8419,55.0,68,100,22.46,JP,overcast clouds
sergach,55.5308,45.4661,5.05,98,90,3.38,RU,overcast clouds
kirakira,-10.4544,161.9205,81.84,81,96,6.06,SB,overcast clouds
guadalupe y calvo,26.1,-106.9667,37.89,38,65,5.23,MX,broken clouds
coihaique,-45.5752,-72.0662,57.81,94,75,2.3,CL,broken clouds
young,-32.6833,-57.6333,70.48,69,15,13.0,UY,few clouds
west wendover,40.7391,-114.0733,18.61,86,0,0.0,US,clear sky
jilib,0.4883,42.7854,99.28,28,49,7.49,SO,scattered clouds
zhuhai,22.2769,113.5678,65.98,51,0,11.5,CN,clear sky
chachapoyas,-6.2317,-77.869,52.66,97,100,2.3,PE,overcast clouds
hun,29.1268,15.9477,62.85,53,51,9.08,LY,broken clouds
gunjur,13.2019,-16.7339,81.61,25,0,16.82,GM,clear sky
sawtell,-30.3833,153.1,60.82,82,100,1.14,AU,overcast clouds
kautokeino,69.0125,23.0412,14.05,96,100,2.24,NO,light snow
crispiano,40.6058,17.2303,58.64,70,20,5.75,IT,few clouds
itarema,-2.9248,-39.9167,83.1,67,88,11.68,BR,overcast clouds
meulaboh,4.1363,96.1285,80.96,73,69,1.57,ID,broken clouds
tekirdag,40.978,27.5085,51.15,62,14,9.42,TR,few clouds
qasigiannguit,68.8193,-51.1922,-0.17,72,31,4.81,GL,scattered clouds
bud,39.447,-86.1758,26.94,89,39,5.97,US,scattered clouds
seymchan,62.8833,152.4333,5.61,91,98,9.19,RU,overcast clouds
saint-leu,-21.15,55.2833,83.26,74,99,3.96,RE,overcast clouds
lalmohan,22.3384,90.7419,74.37,55,73,3.29,BD,broken clouds
pocao de pedras,-4.6667,-44.85,78.28,83,66,2.42,BR,broken clouds
amursk,50.2261,136.8994,-13.61,98,56,4.52,RU,broken clouds
bilma,18.6853,12.9164,72.12,32,66,13.02,NE,broken clouds
brasilia de minas,-16.2064,-44.4333,70.16,93,100,7.0,BR,overcast clouds
laguna de perlas,12.3429,-83.6712,75.04,85,9,9.89,NI,clear sky
labutta,12.3429,-83.6712,75.04,85,9,9.89,NI,clear sky
loubomo,-4.1997,12.6739,71.91,95,100,2.28,CG,overcast clouds
show low,34.2542,-110.0298,35.15,80,0,0.0,US,clear sky
plouzane,48.3833,-4.6167,55.58,94,75,14.97,FR,broken clouds
nizhniy tsasuchey,50.5167,115.1333,-15.43,95,13,5.06,RU,few clouds
markova,48.6758,24.4138,44.1,42,46,2.57,UA,scattered clouds
tidore,48.6758,24.4138,44.1,42,46,2.57,UA,scattered clouds
rawson,-43.3002,-65.1023,73.4,41,7,12.73,AR,clear sky
dayong,25.0209,118.2898,53.56,58,29,6.06,CN,scattered clouds
hasaki,35.7333,140.8333,42.22,59,99,13.27,JP,overcast clouds
mullaitivu,35.7333,140.8333,42.22,59,99,13.27,JP,overcast clouds
mumford,5.2618,-0.759,83.82,63,86,5.64,GH,overcast clouds
mahibadhoo,3.7833,72.9667,78.58,83,100,9.44,MV,overcast clouds
pavilosta,56.8879,21.1859,40.91,99,100,12.57,LV,light rain
vila,42.0304,-8.1588,49.08,94,100,7.81,PT,overcast clouds
marcona,42.0304,-8.1588,49.08,94,100,7.81,PT,overcast clouds
kant,27.8,79.8,70.09,25,1,6.17,IN,clear sky
ituango,7.1712,-75.764,60.55,98,65,0.47,CO,broken clouds
twin falls,42.3505,-114.6445,37.74,70,100,27.63,US,overcast clouds
grand forks,47.9417,-97.4337,-16.87,69,100,0.0,US,overcast clouds
bell ville,-32.6259,-62.6887,75.79,43,0,12.01,AR,clear sky
sur,22.5667,59.5289,76.53,42,0,9.6,OM,clear sky
tres arroyos,-38.3739,-60.2798,74.26,48,35,14.85,AR,scattered clouds
cuamba,-14.8031,36.5372,77.49,80,99,1.45,MZ,moderate rain
businga,3.3333,20.8833,95.9,22,97,4.83,CD,overcast clouds
hurghada,27.2574,33.8129,75.24,41,0,14.97,EG,clear sky
geraldton,-28.7667,114.6,77.41,65,57,19.57,AU,broken clouds
belem de sao francisco,-8.7539,-38.9658,82.26,53,60,7.76,BR,broken clouds
kangaatsiaq,68.3065,-53.4641,7.63,72,36,5.75,GL,scattered clouds
zholymbet,51.7433,71.7122,14.72,95,100,13.67,KZ,light snow
talnakh,69.4865,88.3972,-14.8,98,100,6.29,RU,overcast clouds
saryshagan,69.4865,88.3972,-14.8,98,100,6.29,RU,overcast clouds
hokitika,-42.7167,170.9667,57.85,76,41,5.61,NZ,scattered clouds
hillsborough,37.5741,-122.3794,48.27,82,20,0.0,US,few clouds
panjab,34.388,67.0233,21.07,81,44,3.53,AF,scattered clouds
flin flon,54.7682,-101.865,-4.34,94,100,8.34,CA,overcast clouds
general roca,-39.0333,-67.5833,73.62,29,18,4.05,AR,few clouds
verkh-usugli,52.7,115.1667,-16.76,94,6,3.71,RU,clear sky
qaqortoq,60.7167,-46.0333,8.35,62,0,7.87,GL,clear sky
puerto narino,-3.7703,-70.3831,70.95,99,100,0.43,CO,overcast clouds
rio gallegos,-51.6226,-69.2181,57.25,88,75,14.2,AR,broken clouds
cap-aux-meules,47.3821,-61.8597,32.05,86,75,12.66,CA,broken clouds
muisne,0.6,-80.0333,74.34,87,100,6.71,EC,overcast clouds
formosa,-26.1775,-58.1781,82.96,52,0,6.91,AR,light rain
shelburne,44.0787,-80.2041,21.6,96,41,11.14,CA,scattered clouds
nizwa,22.9333,57.5333,76.14,32,5,7.76,OM,clear sky
inderborskiy,22.9333,57.5333,76.14,32,5,7.76,OM,clear sky
agdas,40.65,47.4761,44.47,57,68,6.15,AZ,broken clouds
benevento,41.2179,14.7464,52.75,72,60,5.48,IT,broken clouds
guajara-mirim,41.2179,14.7464,52.75,72,60,5.48,IT,broken clouds
mehran,33.1222,46.1646,69.8,29,9,16.71,IR,clear sky
rognedino,53.8015,33.5576,32.7,99,100,8.3,RU,overcast clouds
pachino,36.7186,15.0907,60.1,61,2,10.07,IT,clear sky
tiarei,-17.5333,-149.3333,78.82,85,57,17.63,PF,light rain
colonia,50.9333,6.95,54.59,86,100,16.11,DE,overcast clouds
nokaneng,-19.6667,22.2667,99.03,17,12,6.33,BW,few clouds
constitucion,-35.3333,-72.4167,59.54,81,2,2.86,CL,clear sky
ituni,-35.3333,-72.4167,59.54,81,2,2.86,CL,clear sky
alghero,40.5589,8.3181,60.89,77,20,11.5,IT,few clouds
oussouye,12.485,-16.5469,82.58,16,19,12.66,SN,few clouds
palabuhanratu,12.485,-16.5469,82.58,16,19,12.66,SN,few clouds
alofi,-19.0595,-169.9187,75.09,94,4,2.3,NU,clear sky
codrington,-38.2667,141.9667,62.2,81,100,6.62,AU,light rain
gat,31.61,34.7642,69.4,100,6,11.63,IL,clear sky
ancud,-41.8697,-73.8203,56.44,93,98,7.87,CL,light rain
redding,40.5865,-122.3917,46.49,83,100,0.0,US,overcast clouds
pangnirtung,66.1451,-65.7125,4.42,82,83,4.9,CA,broken clouds
yantai,37.5333,121.4,30.61,57,83,10.94,CN,broken clouds
gold coast,-28.0,153.4333,72.0,68,100,4.61,AU,overcast clouds
koungou,-12.7336,45.2042,87.51,66,75,11.5,YT,broken clouds
krasnoselkup,65.7,82.4667,-8.54,98,100,6.89,RU,overcast clouds
tyrma,50.0833,132.1667,-17.61,97,99,2.57,RU,overcast clouds
grindavik,63.8424,-22.4338,31.95,74,20,31.07,IS,few clouds
aksu,41.1231,80.2644,29.01,34,0,3.76,CN,clear sky
westport,41.1415,-73.3579,30.33,76,0,5.01,US,clear sky
sept-iles,50.2001,-66.3821,26.6,75,100,8.05,CA,light snow
san julian,21.0167,-102.1667,42.62,87,63,4.29,MX,broken clouds
chengde,40.9725,117.9361,16.84,37,100,4.27,CN,overcast clouds
awjilah,29.1081,21.2869,61.41,42,0,12.1,LY,clear sky
tamworth,52.634,-1.6959,47.64,91,61,5.01,GB,broken clouds
havoysund,70.9963,24.6622,25.03,83,100,15.5,NO,overcast clouds
rawannawi,70.9963,24.6622,25.03,83,100,15.5,NO,overcast clouds
jambi,-1.6,103.6167,78.21,92,98,3.58,ID,overcast clouds
redcar,54.6166,-1.06,46.76,63,25,15.99,GB,scattered clouds
segezha,63.7415,34.3222,22.46,93,100,12.26,RU,overcast clouds
jomalig,63.7415,34.3222,22.46,93,100,12.26,RU,overcast clouds
laramie,41.3114,-105.5911,27.09,56,0,14.0,US,clear sky
mizque,-17.941,-65.3402,62.26,81,53,2.35,BO,broken clouds
siuna,13.7332,-84.7773,65.46,98,3,4.0,NI,clear sky
mosquera,4.7059,-74.2302,41.09,100,20,4.61,CO,fog
namibe,-15.1961,12.1522,75.07,60,51,8.63,AO,broken clouds
ayia galini,35.1,24.6833,57.74,64,44,8.99,GR,scattered clouds
charters towers,-20.1,146.2667,73.62,68,35,19.26,AU,scattered clouds
salekhard,66.53,66.6019,-15.99,90,78,5.68,RU,broken clouds
rajshahi,24.3667,88.6,75.07,31,33,4.83,BD,scattered clouds
margate,51.3813,1.3862,50.9,86,32,5.99,GB,scattered clouds
xinyu,27.8043,114.9334,49.98,42,0,4.09,CN,clear sky
te anau,-45.4167,167.7167,51.66,93,23,2.37,NZ,few clouds
rypefjord,70.6333,23.6667,21.67,79,75,5.75,NO,broken clouds
port blair,11.6667,92.75,82.44,74,40,5.75,IN,scattered clouds
talsi,57.2456,22.5814,36.95,99,100,9.06,LV,overcast clouds
kaeo,-35.1,173.7833,62.33,88,54,4.25,NZ,broken clouds
stolin,51.8912,26.846,33.67,85,100,8.81,BY,overcast clouds
bandarbeyla,9.4942,50.8122,80.19,69,18,18.43,SO,few clouds
dali,25.7,100.1833,48.99,57,38,5.3,CN,scattered clouds
mirnyy,62.5353,113.9611,-30.77,66,82,1.99,RU,broken clouds
tynset,62.2759,10.7824,19.02,97,100,3.42,NO,overcast clouds
himora,62.2759,10.7824,19.02,97,100,3.42,NO,overcast clouds
skjervoy,70.0311,20.9714,21.2,70,99,14.76,NO,overcast clouds
argelia,2.2556,-77.2488,64.36,97,100,1.32,CO,overcast clouds
bintulu,3.1667,113.0333,81.01,89,40,4.61,MY,heavy intensity rain
abu dhabi,24.4667,54.3667,82.51,41,20,5.75,AE,few clouds
cockburn town,21.4612,-71.1419,78.04,71,12,19.1,TC,few clouds
dunedin,-45.8742,170.5036,54.81,83,95,10.0,NZ,overcast clouds
norilsk,69.3535,88.2027,-14.58,99,100,4.34,RU,overcast clouds
robstown,27.7903,-97.6689,53.38,85,100,5.75,US,overcast clouds
antalaha,-14.9003,50.2788,83.44,65,93,9.46,MG,overcast clouds
shenjiamen,29.9576,122.298,49.28,45,0,20.92,CN,clear sky
goderich,43.7501,-81.7165,29.91,68,14,13.8,CA,few clouds
san ignacio,17.1561,-89.0714,69.06,96,84,0.34,BZ,broken clouds
divinopolis,-20.1389,-44.8839,68.67,92,100,2.21,BR,overcast clouds
warrington,53.3925,-2.5802,48.09,86,40,6.91,GB,scattered clouds
el faiyum,53.3925,-2.5802,48.09,86,40,6.91,GB,scattered clouds
yaan,7.3833,8.5667,91.27,13,39,10.65,NG,scattered clouds
colquechaca,-18.6667,-66.0167,34.02,73,78,3.18,BO,broken clouds
murwara,23.85,80.4,74.37,31,19,4.43,IN,few clouds
mimongo,-1.6195,11.6068,74.19,88,99,2.84,GA,light rain
nanakuli,21.3906,-158.1547,70.61,63,0,0.0,US,clear sky
kargasok,59.0556,80.8572,-4.95,98,23,7.61,RU,few clouds
grand-lahou,5.1367,-5.0242,85.42,62,70,1.01,CI,broken clouds
nioro,13.35,-15.75,86.5,12,0,14.18,GM,clear sky
smithers,54.7804,-127.1743,-28.88,75,0,4.61,CA,clear sky
kalianget,-7.05,113.9333,80.62,81,90,2.55,ID,overcast clouds
talara,-4.5772,-81.2719,69.42,82,57,10.89,PE,broken clouds
pangody,65.85,74.4859,-28.53,99,98,7.36,RU,overcast clouds
bairnsdale,-37.8333,147.6167,59.05,86,88,3.29,AU,overcast clouds
moron,-34.6534,-58.6198,74.05,66,2,10.11,AR,clear sky
faxinal,-24.0003,-51.3194,63.64,74,4,6.08,BR,clear sky
gravelbourg,49.8834,-106.5512,-19.93,97,100,9.06,CA,overcast clouds
buchanan,5.8808,-10.0467,85.21,59,63,1.61,LR,broken clouds
walvis bay,-22.9575,14.5053,68.92,65,46,10.67,NA,scattered clouds
rio grande,-32.035,-52.0986,73.51,65,8,15.59,BR,clear sky
san andres,12.5847,-81.7006,80.51,74,3,19.62,CO,clear sky
gazni,12.5847,-81.7006,80.51,74,3,19.62,CO,clear sky
scarborough,54.2797,-0.4044,45.97,82,36,13.0,GB,scattered clouds
kieta,-6.2167,155.6333,79.81,84,85,1.95,PG,light rain
villa carlos paz,-31.4241,-64.4978,76.28,36,0,1.99,AR,clear sky
marsa matruh,31.3525,27.2453,61.0,67,75,11.5,EG,broken clouds
prokopyevsk,53.9059,86.719,17.94,87,65,6.51,RU,broken clouds
haines junction,60.7522,-137.5108,-34.65,74,100,2.3,CA,overcast clouds
persianovskiy,47.5137,40.1075,34.56,75,0,2.24,RU,clear sky
uhlove,44.8215,33.6045,43.25,53,92,2.19,UA,overcast clouds
beyneu,45.3167,55.2,32.43,54,53,10.31,KZ,broken clouds
balta,47.9355,29.6198,37.22,58,90,7.27,UA,overcast clouds
kalmunai,7.4167,81.8167,78.04,84,100,13.76,LK,overcast clouds
afsin,38.2477,36.914,42.04,70,38,2.64,TR,scattered clouds
san cristobal,7.7669,-72.225,64.58,88,84,1.7,VE,broken clouds
pesaro,43.9036,12.8903,59.02,85,100,1.99,IT,overcast clouds
jinchang,38.4953,102.1739,28.0,38,0,3.09,CN,clear sky
tessalit,20.1986,1.0114,75.49,20,0,15.08,ML,clear sky
toul,48.6667,5.9167,52.72,93,100,10.36,FR,mist
touros,-5.1989,-35.4608,83.34,66,38,13.33,BR,scattered clouds
huarmey,-10.0681,-78.1522,69.71,87,95,6.6,PE,overcast clouds
pacific grove,36.6177,-121.9166,48.09,85,0,3.44,US,clear sky
ozernovskiy,51.5,156.5167,26.4,84,22,2.48,RU,few clouds
najran,17.4924,44.1277,74.05,20,1,6.11,SA,clear sky
sibolga,1.7427,98.7792,79.92,80,100,0.56,ID,light rain
saleaula,1.7427,98.7792,79.92,80,100,0.56,ID,light rain
rundu,-17.9333,19.7667,93.51,26,82,0.4,NA,broken clouds
nouadhibou,20.931,-17.0347,73.38,35,0,17.27,MR,clear sky
mitu,1.1983,-70.1733,70.81,99,100,1.7,CO,overcast clouds
paamiut,61.994,-49.6678,13.14,57,7,9.19,GL,clear sky
comodoro rivadavia,-45.8667,-67.5,75.06,29,0,12.66,AR,clear sky
dinguiraye,11.3,-10.7167,84.22,13,91,5.28,GN,overcast clouds
dauphin,51.1494,-100.0502,-12.86,70,100,8.05,CA,overcast clouds
ingham,42.6,-84.3833,23.02,85,0,3.44,US,clear sky
acapulco,16.8634,-99.8901,71.42,88,20,3.44,MX,few clouds
loudi,27.7344,111.9944,52.45,27,0,4.07,CN,clear sky
caluquembe,-13.7833,14.6833,81.36,31,87,3.67,AO,overcast clouds
dalbandin,28.8947,64.4101,59.47,24,0,9.24,PK,clear sky
north bend,43.4065,-124.2243,51.93,99,100,9.22,US,overcast clouds
ostrovnoy,68.0531,39.5131,19.08,89,100,17.29,RU,overcast clouds
komsomolskiy,40.4272,71.7189,41.72,52,99,2.3,UZ,overcast clouds
antofagasta,-23.65,-70.4,67.28,83,52,2.26,CL,broken clouds
gorontalo,0.5412,123.0595,77.97,90,93,2.24,ID,overcast clouds
pemberton,50.3164,-122.8027,-10.35,94,32,2.44,CA,scattered clouds
ruatoria,50.3164,-122.8027,-10.35,94,32,2.44,CA,scattered clouds
wajima,37.4,136.9,46.62,64,99,8.88,JP,light rain
dzhebariki-khaya,62.2167,135.8,-30.14,99,98,0.63,RU,overcast clouds
pihuamo,19.2499,-103.3828,62.71,60,32,3.6,MX,scattered clouds
kachiry,53.0675,76.1036,17.98,96,100,3.96,KZ,light snow
tambul,53.0675,76.1036,17.98,96,100,3.96,KZ,light snow
matagami,49.7502,-77.6328,14.11,92,100,11.5,CA,overcast clouds
kahului,20.8947,-156.47,71.83,80,0,12.66,US,clear sky
farmington,36.7281,-108.2187,28.2,46,0,0.0,US,clear sky
dubbo,-32.25,148.6167,66.33,42,99,8.05,AU,overcast clouds
louisbourg,-32.25,148.6167,66.33,42,99,8.05,AU,overcast clouds
nisia floresta,-6.0911,-35.2086,85.01,58,28,9.86,BR,scattered clouds
narsaq,60.9167,-46.05,8.82,62,0,8.52,GL,clear sky
micheweni,-4.9667,39.8333,84.69,67,98,12.46,TZ,overcast clouds
powell river,49.8496,-124.5361,23.0,70,74,6.35,CA,broken clouds
east brunswick,40.4279,-74.416,31.64,68,49,2.24,US,scattered clouds
bodden town,19.2833,-81.25,78.8,89,0,4.61,KY,clear sky
along,28.1667,94.7667,62.78,61,85,1.01,IN,overcast clouds
kovdor,67.5662,30.4758,15.93,97,100,2.95,RU,overcast clouds
sabang,5.8933,95.3214,81.5,78,44,12.82,ID,scattered clouds
samarai,-10.6167,150.6667,83.55,79,89,11.77,PG,overcast clouds
sinaloa,25.0,-107.5,56.66,47,98,2.04,MX,overcast clouds
ratnagiri,16.9833,73.3,84.06,49,37,9.73,IN,scattered clouds
benjamin hill,30.1667,-111.1,49.46,37,30,6.93,MX,scattered clouds
luderitz,-26.6481,15.1594,73.42,63,2,14.27,NA,clear sky
ichalkaranji,16.7,74.4667,85.68,29,43,7.27,IN,scattered clouds
meyungs,16.7,74.4667,85.68,29,43,7.27,IN,scattered clouds
port hawkesbury,45.6169,-61.3485,34.59,89,100,2.3,CA,overcast clouds
voorschoten,52.1167,4.4333,46.42,84,75,13.8,NL,broken clouds
wagar,16.1525,36.2032,89.56,22,15,3.58,SD,few clouds
puerto ayacucho,5.6639,-67.6236,72.36,90,93,4.81,VE,overcast clouds
praia da vitoria,38.7333,-27.0667,66.45,88,40,23.94,PT,scattered clouds
mecca,21.4267,39.8261,83.14,40,47,12.86,SA,scattered clouds
crna na koroskem,46.4705,14.8501,42.57,83,100,3.09,SI,overcast clouds
pinos puente,37.2511,-3.7497,60.3,84,40,4.61,ES,scattered clouds
singaraja,-8.112,115.0882,81.07,82,96,3.53,ID,overcast clouds
huangmei,30.1924,116.025,49.39,41,0,3.85,CN,clear sky
pechory,57.8164,27.6119,33.26,100,100,8.63,RU,light snow
valasske klobouky,49.1406,18.0076,34.66,86,98,3.36,CZ,overcast clouds
lat yao,15.751,99.7893,76.68,57,17,2.48,TH,few clouds
halifax,44.6453,-63.5724,36.45,93,100,6.91,CA,overcast clouds
bayir,37.2687,28.2167,52.32,31,0,2.3,TR,clear sky
ust-omchug,61.15,149.6333,13.3,93,100,10.45,RU,overcast clouds
mabaruma,8.2,-59.7833,71.31,96,31,1.01,GY,scattered clouds
sola,-13.8833,167.55,82.85,75,95,11.01,VU,overcast clouds
palmas,-10.2128,-48.3603,76.87,88,20,2.3,BR,few clouds
vestmanna,62.1564,-7.1664,40.12,93,100,8.05,FO,light rain
shimoda,34.6667,138.95,47.1,70,100,4.38,JP,light rain
kudahuvadhoo,2.6708,72.8944,79.61,78,100,10.69,MV,overcast clouds
ha giang,22.8333,104.9833,59.59,72,65,1.28,VN,broken clouds
suruc,36.9761,38.425,57.49,43,5,12.59,TR,clear sky
salalah,17.0151,54.0924,87.89,22,0,10.36,OM,clear sky
marquard,-28.6645,27.4305,80.13,26,3,6.55,ZA,clear sky
rafraf,37.1904,10.1837,61.11,64,0,8.66,TN,clear sky
yashkul,46.1711,45.3435,36.19,49,100,7.2,RU,overcast clouds
canutama,-6.5339,-64.3831,72.01,99,100,0.36,BR,heavy intensity rain
sao francisco do sul,-26.2433,-48.6381,69.71,88,75,5.75,BR,broken clouds
baghdad,33.3406,44.4009,67.91,37,75,10.36,IQ,broken clouds
paita,-5.0892,-81.1144,68.16,86,79,6.33,PE,broken clouds
hirara,24.8,125.2833,64.67,72,75,21.85,JP,broken clouds
ahuimanu,21.4447,-157.8378,70.36,83,20,5.01,US,few clouds
dejen,10.1667,38.1333,69.58,36,91,3.4,ET,overcast clouds
neyshabur,36.2133,58.7958,44.58,44,80,2.01,IR,broken clouds
zhezkazgan,47.8043,67.7144,8.58,78,20,22.37,KZ,few clouds
dukat,62.55,155.55,11.59,74,66,8.75,RU,broken clouds
leghorn,62.55,155.55,11.59,74,66,8.75,RU,broken clouds
jizan,17.3333,42.6667,85.14,46,6,8.93,SA,clear sky
dragor,55.5946,12.6664,41.49,99,100,9.22,DK,fog
upata,8.0086,-62.3989,69.19,95,92,5.14,VE,overcast clouds
cermik,38.1361,39.4493,54.59,45,2,7.29,TR,clear sky
umzimvubu,38.1361,39.4493,54.59,45,2,7.29,TR,clear sky
sioux lookout,50.1001,-91.917,-16.53,83,0,4.61,CA,clear sky
saint-denis,48.9167,2.3333,50.61,90,100,11.5,FR,overcast clouds
taltal,-25.4,-70.4833,67.71,78,41,2.95,CL,scattered clouds
balkanabat,39.5108,54.3671,44.92,33,65,6.06,TM,broken clouds
maridi,4.9158,29.4742,95.14,20,92,3.6,SS,overcast clouds
merauke,-8.4667,140.3333,80.37,81,100,6.06,ID,heavy intensity rain
waipawa,-41.4122,175.5153,53.82,79,100,6.51,NZ,overcast clouds
xuanzhou,30.9525,118.7553,45.75,48,0,5.06,CN,clear sky
gardez,33.5974,69.2259,40.14,35,0,3.98,AF,clear sky
guapo,-16.8306,-49.5319,73.78,95,100,4.79,BR,heavy intensity rain
lazaro cardenas,17.9583,-102.2,70.05,86,16,4.16,MX,few clouds
mantua,45.1667,10.7833,43.84,91,100,1.01,IT,overcast clouds
asayita,45.1667,10.7833,43.84,91,100,1.01,IT,overcast clouds
solwezi,-12.1688,26.3894,73.78,72,90,3.36,ZM,light rain
sug-aksy,-12.1688,26.3894,73.78,72,90,3.36,ZM,light rain
wanaka,-44.7,169.15,53.42,85,72,2.75,NZ,broken clouds
vilyuysk,63.7553,121.6247,-41.44,100,81,2.1,RU,broken clouds
kyshtym,55.714,60.5528,3.45,85,44,10.2,RU,scattered clouds
babayurt,43.6002,46.7789,44.17,60,42,13.87,RU,scattered clouds
sakakah,29.9697,40.2064,71.17,38,0,5.59,SA,clear sky
hovd,48.0056,91.6419,4.14,89,84,1.83,MN,broken clouds
gao,16.6362,1.637,75.22,19,100,24.7,ML,overcast clouds
mtambile,-5.3833,39.7,85.59,64,87,11.74,TZ,overcast clouds
anori,-3.7728,-61.6442,73.02,98,100,1.79,BR,overcast clouds
kulhudhuffushi,6.6221,73.07,81.7,69,89,5.26,MV,overcast clouds
christchurch,-43.5333,172.6333,57.4,68,100,13.8,NZ,overcast clouds
ignatovka,53.9479,47.6536,18.43,93,26,3.33,RU,scattered clouds
afua,-0.1567,-50.3867,77.85,87,77,4.38,BR,broken clouds
bubaque,11.2833,-15.8333,79.09,38,97,13.91,GW,overcast clouds
innisfail,-17.5333,146.0333,76.86,80,89,11.43,AU,overcast clouds
khorinsk,52.1657,109.7726,-9.65,98,62,1.57,RU,broken clouds
los banos,14.1667,121.1833,81.09,87,75,4.9,PH,broken clouds
lingao,19.9103,109.6859,64.35,55,88,6.55,CN,overcast clouds
tubuala,9.5167,-79.0333,79.5,83,84,16.22,PA,light rain
sumbe,-11.2061,13.8437,81.45,63,87,7.38,AO,overcast clouds
bosaso,11.2842,49.1816,80.58,78,0,12.66,SO,clear sky
athni,16.7333,75.0667,85.32,28,86,9.37,IN,overcast clouds
jalingo,8.8833,11.3667,90.41,14,27,7.14,NG,scattered clouds
grand centre,8.8833,11.3667,90.41,14,27,7.14,NG,scattered clouds
tongliao,43.6125,122.2653,6.66,81,42,5.23,CN,scattered clouds
nemuro,43.3236,145.575,30.47,58,98,4.47,JP,overcast clouds
owasso,36.2695,-95.8547,33.35,90,100,6.91,US,overcast clouds
freeport,40.6576,-73.5832,32.02,76,0,9.22,US,clear sky
vad,55.5301,44.2114,9.0,96,86,5.1,RU,overcast clouds
mananjary,-21.2167,48.3333,84.29,70,83,15.39,MG,broken clouds
steamboat springs,40.485,-106.8317,21.76,100,100,0.0,US,overcast clouds
aitape,-3.1374,142.3475,79.57,86,100,5.14,PG,overcast clouds
srednekolymsk,67.45,153.6833,-7.15,100,43,4.54,RU,scattered clouds
burgersdorp,-30.9977,26.3286,76.57,19,0,2.66,ZA,clear sky
yuyao,30.05,121.1494,44.37,54,0,6.31,CN,clear sky
quatre cocos,-20.2078,57.7625,84.31,65,6,12.03,MU,clear sky
bac lieu,9.285,105.7244,78.28,82,65,8.3,VN,broken clouds
yuryuzan,54.8633,58.4219,6.15,96,100,4.43,RU,overcast clouds
karratha,-20.7377,116.8463,77.79,63,0,17.2,AU,clear sky
atar,20.5169,-13.0499,75.36,20,0,20.0,MR,clear sky
marzuq,14.4,46.4667,75.4,21,0,6.82,YE,clear sky
hoquiam,46.9809,-123.8893,37.92,75,100,0.0,US,overcast clouds
turayf,31.6725,38.6637,61.05,39,0,4.61,SA,clear sky
sao miguel do oeste,31.6725,38.6637,61.05,39,0,4.61,SA,clear sky
broken hill,-31.95,141.4333,68.83,83,98,16.42,AU,overcast clouds
belyy yar,53.6039,91.3903,8.85,80,14,0.0,RU,mist
naze,28.3667,129.4833,58.12,78,100,22.3,JP,overcast clouds
necochea,-38.5473,-58.7368,70.52,62,87,14.29,AR,overcast clouds
kununurra,-15.7667,128.7333,75.18,94,75,21.85,AU,thunderstorm
ola,59.5833,151.2833,30.15,73,100,34.14,RU,overcast clouds
nivala,63.9167,24.9667,27.68,99,100,2.21,FI,light snow
minab,27.1467,57.0801,80.92,13,0,6.91,IR,clear sky
santa maria,-29.6842,-53.8069,70.9,83,20,11.5,BR,few clouds
tebingtinggi,3.3285,99.1625,77.74,91,78,3.67,ID,moderate rain
okato,-39.2,173.8833,62.91,100,29,8.88,NZ,scattered clouds
marrakesh,31.6315,-8.0083,66.27,52,0,3.44,MA,clear sky
mastic beach,40.7668,-72.8521,31.98,86,0,0.0,US,clear sky
